0	-0.0416523	0.00370405	-0.0120944
0.0344828	0.0758855	0.144363	0.203587
0.0689655	0.105887	0.259478	0.3624
0.103448	0.170788	0.360286	0.542374
0.137931	0.20317	0.407522	0.704534
0.172414	0.311803	0.481457	0.80502
0.206897	0.338232	0.594614	0.821449
0.241379	0.302589	0.612485	0.906532
0.275862	0.335894	0.59561	0.898951
0.310345	0.286523	0.537869	0.842022
0.344828	0.241982	0.471199	0.78992
0.37931	0.201726	0.391884	0.645232
0.413793	0.115665	0.282956	0.499897
0.448276	0.126654	0.176257	0.328663
0.482759	0.066533	0.0198417	0.110219
0.517241	-0.0331831	-0.0761098	-0.141317
0.551724	-0.0927296	-0.219183	-0.241559
0.586207	-0.179708	-0.270902	-0.460771
0.62069	-0.162048	-0.456294	-0.575559
0.655172	-0.20805	-0.530463	-0.780346
0.689655	-0.242298	-0.528865	-0.822735
0.724138	-0.315267	-0.588264	-0.905236
0.758621	-0.305853	-0.643168	-0.903536
0.793103	-0.291477	-0.592055	-0.857436
0.827586	-0.289402	-0.484567	-0.76292
0.862069	-0.270358	-0.430461	-0.675236
0.896552	-0.231194	-0.328504	-0.512663
0.931034	-0.17519	-0.221731	-0.330941
0.965517	-0.0567209	-0.0880629	-0.200636
1	0.0449826	-0.0469508	0.0426738
